city,city_id,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Paris,94,,48.8566,2.3522,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,primary,4392.2,11020000,2148271,1,Europe/Paris,FALSE,1250015082
Nice,48,,43.7034,7.2663,France,FR,FRA,Provence-Alpes-Côte d’Azur,Provence-Alpes-Cote d'Azur,FR-U,region,minor,4741.8,1006402,341032,1,Europe/Paris,FALSE,1250774553
Toulouse,87,,43.6045,1.444,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,admin,4115.2,968638,486828,2,Europe/Paris,FALSE,1250258110
Marseille,6,Marsella|Marseilles|Marsiglia,43.2964,5.37,France,FR,FRA,Provence-Alpes-Côte d’Azur,Provence-Alpes-Cote d'Azur,FR-U,region,admin,3608.5,870018,868277,2,Europe/Paris,FALSE,1250774071
Rennes,95,Roazhon,48.1147,-1.6794,France,FR,FRA,Bretagne,Bretagne,FR-E,region,admin,4320.9,727357,217728,2,Europe/Paris,FALSE,1250363682
Grenoble,63,,45.1715,5.7224,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,minor,8695.5,687985,157650,2,Europe/Paris,FALSE,1250071647
Nantes,25,Naoned,47.2181,-1.5528,France,FR,FRA,Pays de la Loire,Pays de la Loire,FR-R,region,admin,4818.8,633690,314138,2,Europe/Paris,FALSE,1250091495
Montpellier,39,,43.6119,3.8772,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,minor,5099.4,607896,290053,2,Europe/Paris,FALSE,1250819356
Lyon,13,Lyons,45.76,4.84,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,admin,10834.2,516092,516092,2,Europe/Paris,FALSE,1250196189
Rouen,16,,49.4428,1.0886,France,FR,FRA,Normandie,Normandie,FR-NOR,region,admin,5208.6,494382,111360,2,Europe/Paris,FALSE,1250372069
Strasbourg,98,Strassbourg|Straszburg|Strasburg|Strassburg,48.5833,7.7458,France,FR,FRA,Grand Est,Grand Est,FR-GES,region,admin,3637.6,465069,284677,2,Europe/Paris,FALSE,1250789140
Nancy,75,,48.6936,6.1846,France,FR,FRA,Grand Est,Grand Est,FR-GES,region,minor,6987.7,434565,104885,2,Europe/Paris,FALSE,1250925250
Metz,80,Divodurum|Mettis|Mediomatricum,49.1203,6.1778,France,FR,FRA,Grand Est,Grand Est,FR-GES,region,minor,2779.7,391187,116581,2,Europe/Paris,FALSE,1250778717
Brest,3,,48.39,-4.49,France,FR,FRA,Bretagne,Bretagne,FR-E,region,minor,2819.7,300300,139602,2,Europe/Paris,FALSE,1250882453
Mulhouse,12,Mulhousen,47.75,7.34,France,FR,FRA,Grand Est,Grand Est,FR-GES,region,minor,4911.7,285121,108942,2,Europe/Paris,FALSE,1250218452
Limoges,45,Limages,45.8353,1.2625,France,FR,FRA,Nouvelle-Aquitaine,Nouvelle-Aquitaine,FR-NAQ,region,minor,1685,283823,131479,2,Europe/Paris,FALSE,1250736774
Orléans,23,,47.9025,1.909,France,FR,FRA,Centre-Val de Loire,Centre-Val de Loire,FR-F,region,admin,4229.9,282828,116238,2,Europe/Paris,FALSE,1250441405
Bordeaux,33,Burdigala,44.84,-0.58,France,FR,FRA,Nouvelle-Aquitaine,Nouvelle-Aquitaine,FR-NAQ,region,admin,5208,257804,257068,2,Europe/Paris,FALSE,1250449238
Le Havre,93,,49.49,0.1,France,FR,FRA,Normandie,Normandie,FR-NOR,region,minor,3615.2,235218,169733,2,Europe/Paris,FALSE,1250775297
Lille,42,,50.6278,3.0583,France,FR,FRA,Hauts-de-France,Hauts-de-France,FR-HDF,region,admin,6692.4,232787,232787,2,Europe/Paris,FALSE,1250071961
Reims,1,Rheims,49.2628,4.0347,France,FR,FRA,Grand Est,Grand Est,FR-GES,region,minor,3885.1,182460,182211,2,Europe/Paris,FALSE,1250608730
Saint-Étienne,14,,45.4347,4.3903,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,minor,2164.4,172565,172565,2,Europe/Paris,FALSE,1250000540
Toulon,41,Toulon-sur-Mer,43.1258,5.9306,France,FR,FRA,Provence-Alpes-Côte d’Azur,Provence-Alpes-Cote d'Azur,FR-U,region,minor,4112.9,171953,171953,2,Europe/Paris,FALSE,1250541629
Dijon,57,Diviodunum,47.3167,5.0167,France,FR,FRA,Bourgogne-Franche-Comté,Bourgogne-Franche-Comte,FR-BFC,region,admin,3881.6,156920,156854,2,Europe/Paris,FALSE,1250505606
Angers,79,,47.4736,-0.5542,France,FR,FRA,Pays de la Loire,Pays de la Loire,FR-R,region,minor,3618.5,152960,152960,2,Europe/Paris,FALSE,1250962174
Nîmes,84,Nismes,43.838,4.361,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,minor,924.5,151001,149633,2,Europe/Paris,FALSE,1250417467
Villeurbanne,8,,45.7667,4.8803,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,,10376,147712,147712,2,Europe/Paris,FALSE,1250002615
Clermont-Ferrand,43,Clermont,45.7831,3.0824,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,minor,3438.8,143886,143886,2,Europe/Paris,FALSE,1250135509
Le Mans,9,,48.0077,0.1984,France,FR,FRA,Pays de la Loire,Pays de la Loire,FR-R,region,minor,2712.6,142946,142946,2,Europe/Paris,FALSE,1250829671
Aix-en-Provence,5,Aix,43.5263,5.4454,France,FR,FRA,Provence-Alpes-Côte d’Azur,Provence-Alpes-Cote d'Azur,FR-U,region,minor,769,142482,142482,2,Europe/Paris,FALSE,1250001687
Amiens,4,,49.892,2.299,France,FR,FRA,Hauts-de-France,Hauts-de-France,FR-HDF,region,minor,2707.1,136105,133891,2,Europe/Paris,FALSE,1250794759
Tours,56,,47.2436,0.6892,France,FR,FRA,Centre-Val de Loire,Centre-Val de Loire,FR-F,region,minor,3971.6,135787,135787,2,Europe/Paris,FALSE,1250635972
Boulogne-sur-Mer,69,Boulogne,50.7264,1.6147,France,FR,FRA,Hauts-de-France,Hauts-de-France,FR-HDF,region,minor,4829.5,133062,40664,2,Europe/Paris,FALSE,1250693185
Annecy,96,,45.916,6.133,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,minor,1915.1,126924,126924,2,Europe/Paris,FALSE,1250551848
Perpignan,86,,42.6986,2.8956,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,minor,1751,120158,119188,2,Europe/Paris,FALSE,1250102680
Boulogne-Billancourt,31,Boulogne-sur-Seine|Billancourt|Boulogne,48.8352,2.2409,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,minor,19774.2,120071,120071,2,Europe/Paris,FALSE,1250978859
Besançon,52,Becoinson,47.24,6.02,France,FR,FRA,Bourgogne-Franche-Comté,Bourgogne-Franche-Comte,FR-BFC,region,minor,1795.2,115934,115934,2,Europe/Paris,FALSE,1250182013
Belfort,65,,47.64,6.85,France,FR,FRA,Bourgogne-Franche-Comté,Bourgogne-Franche-Comte,FR-BFC,region,minor,2745.8,114445,46954,2,Europe/Paris,FALSE,1250108238
Saint-Denis,44,,48.9356,2.3539,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,minor,9068.9,111135,111135,2,Europe/Paris,FALSE,1250935115
Argenteuil,34,,48.95,2.25,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,minor,6400.3,110210,110210,2,Europe/Paris,FALSE,1250226887
Montreuil,88,Montreuil-sous-Bois,48.8611,2.4436,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,12368.3,109897,109897,2,Europe/Paris,FALSE,1250689747
Caen,58,,49.18,-0.37,France,FR,FRA,Normandie,Normandie,FR-NOR,region,minor,4105.5,105354,105354,2,Europe/Paris,FALSE,1250001272
Roubaix,73,,50.6901,3.1817,France,FR,FRA,Hauts-de-France,Hauts-de-France,FR-HDF,region,,7414.1,100000,98089,2,Europe/Paris,FALSE,1250000779
